hour_time,wd_CLE,ws_CLE,wd_BKL,ws_BKL
2024-01-06 15,110,1.543332,0,0
2024-01-06 16,120,5.14444,110,2.057776
2024-01-06 17,120,4.115552,100,3.086664
2024-01-06 18,90,2.57222,50,1.543332
2024-01-06 19,100,1.543332,0,0
2024-01-06 20,70,2.57222,50,2.57222
2024-01-06 21,20,3.086664,50,2.057776
2024-01-06 22,10,2.57222,60,2.57222
2024-01-06 23,20,1.543332,60,2.57222
2024-01-07 00,90,1.543332,80,2.057776
2024-01-07 01,160,1.543332,130,2.057776
2024-01-07 02,230,1.543332,160,1.543332
2024-01-07 03,250,2.057776,230,2.057776
2024-01-07 04,250,2.57222,230,3.086664
2024-01-07 05,240,2.57222,240,3.086664
2024-01-07 06,250,3.086664,240,3.601108
2024-01-07 07,260,3.086664,250,4.629996
2024-01-07 08,250,3.601108,250,5.6588840000000005
2024-01-07 09,250,3.086664,240,6.687772
2024-01-07 10,250,3.086664,250,5.6588840000000005
2024-01-07 11,250,3.601108,240,5.6588840000000005
2024-01-07 12,250,3.086664,240,4.629996
2024-01-07 13,230,3.086664,240,4.629996
2024-01-07 14,230,2.57222,220,4.629996
2024-01-07 15,240,2.57222,220,4.629996
2024-01-07 16,240,4.629996,230,4.629996
2024-01-07 17,250,4.115552,250,4.629996
2024-01-07 18,260,4.115552,260,6.173328
2024-01-07 19,250,4.629996,270,8.745548
2024-01-07 20,260,4.115552,260,8.745548
2024-01-07 21,270,5.14444,260,7.202216
2024-01-07 22,250,4.629996,260,7.71666
2024-01-07 23,260,5.6588840000000005,250,7.71666
2024-01-08 00,260,5.14444,250,8.231104
2024-01-08 01,260,4.629996,260,9.259992
2024-01-08 02,270,4.115552,270,9.259992
2024-01-08 03,260,4.629996,290,6.687772
2024-01-08 04,260,3.601108,260,8.231104
2024-01-08 05,240,4.629996,240,6.173328
2024-01-08 06,250,4.629996,240,6.687772
2024-01-08 07,250,3.086664,240,6.173328
2024-01-08 08,240,4.629996,230,5.14444
2024-01-08 09,240,5.14444,230,5.14444
2024-01-08 10,250,4.629996,240,5.14444
2024-01-08 11,240,2.57222,230,5.6588840000000005
2024-01-08 12,200,1.543332,210,3.601108
2024-01-08 13,210,2.57222,220,3.086664
2024-01-08 14,210,3.086664,210,2.57222
2024-01-08 15,160,2.57222,180,3.086664
2024-01-08 16,200,4.115552,190,3.601108
2024-01-08 17,180,4.115552,150,3.086664
2024-01-08 18,170,4.115552,140,3.601108
2024-01-08 19,170,4.629996,160,3.601108
2024-01-08 20,160,5.14444,110,5.14444
2024-01-08 21,140,3.086664,130,3.086664
2024-01-08 22,100,2.057776,90,2.57222
2024-01-08 23,90,3.086664,60,3.086664
2024-01-09 00,100,2.57222,80,2.57222
2024-01-09 01,110,5.6588840000000005,90,3.086664
2024-01-09 02,120,5.6588840000000005,110,5.14444
2024-01-09 03,120,4.115552,120,3.601108
2024-01-09 04,110,4.629996,120,6.173328
2024-01-09 05,120,3.601108,130,4.629996
2024-01-09 06,130,5.14444,120,4.115552
2024-01-09 07,130,4.629996,130,5.6588840000000005
2024-01-09 08,130,7.202216,140,7.71666
2024-01-09 09,150,11.832212,140,8.231104
2024-01-09 10,120,3.601108,120,4.115552
2024-01-09 11,130,5.6588840000000005,130,5.6588840000000005
2024-01-09 12,130,6.173328,130,7.202216
2024-01-09 13,140,8.745548,140,8.231104
2024-01-09 14,140,7.71666,130,8.745548
2024-01-09 15,140,11.317768000000001,140,10.28888
2024-01-09 16,140,9.774436,140,10.803324
2024-01-09 17,140,9.259992,140,10.803324
2024-01-09 18,140,9.774436,140,9.774436
2024-01-09 19,150,7.202216,140,9.259992
2024-01-09 20,120,13.375544,130,10.803324
2024-01-09 21,150,9.774436,140,10.28888
2024-01-09 22,160,8.231104,150,8.745548
2024-01-09 23,160,8.231104,140,8.745548
2024-01-10 00,210,14.404432,160,7.202216
2024-01-10 01,230,8.745548,220,6.687772
2024-01-10 02,210,7.202216,200,7.71666
2024-01-10 03,220,6.173328,200,9.774436
2024-01-10 04,220,9.259992,210,11.317768000000001
2024-01-10 05,210,8.231104,210,9.774436
2024-01-10 06,220,6.687772,190,7.71666
2024-01-10 07,220,9.774436,210,7.71666
2024-01-10 08,220,8.745548,220,13.375544
2024-01-10 09,220,7.71666,210,7.71666
2024-01-10 10,240,9.259992,210,10.28888
2024-01-10 11,230,8.231104,220,10.28888
2024-01-10 12,250,9.259992,250,10.28888
2024-01-10 13,260,9.259992,270,16.976652
2024-01-10 14,270,10.803324,260,15.947764000000001
2024-01-10 15,260,9.774436,250,13.375544
2024-01-10 16,270,10.803324,260,14.918876000000001
2024-01-10 17,260,9.259992,260,11.317768000000001
2024-01-10 18,270,8.231104,260,14.918876000000001
2024-01-10 19,280,5.6588840000000005,250,13.375544
2024-01-10 20,250,7.71666,250,10.28888
2024-01-10 21,250,9.774436,240,9.774436
2024-01-10 22,240,7.202216,230,9.259992
2024-01-10 23,250,8.231104,230,8.745548
2024-01-11 00,240,8.231104,220,9.259992
2024-01-11 01,250,5.6588840000000005,240,8.231104
2024-01-11 02,230,2.57222,240,6.173328
2024-01-11 03,200,3.086664,180,2.57222
2024-01-11 04,210,2.57222,210,2.57222
2024-01-11 05,220,3.601108,220,5.14444
2024-01-11 06,210,3.601108,210,5.14444
